x,y,color,phase
0,-0.1428571,white,1
0.125,-0.1428571,black,1
0.25,-0.1428571,white,1
0.375,-0.1428571,black,1
0.5,-0.1428571,white,1
0.625,-0.1428571,black,1
0.75,-0.1428571,white,1
0.875,-0.1428571,black,1
1,-0.1428571,white,1
0,0,white,2
0.125,0,black,2
0.25,0,white,2
0.375,0,black,2
0.5,0,white,2
0.625,0,black,2
0.75,0,white,2
0.875,0,black,2
1,0,white,2
0,0,black,1
0.125,0,white,1
0.25,0,black,1
0.375,0,white,1
0.5,0,black,1
0.625,0,white,1
0.75,0,black,1
0.875,0,white,1
1,0,black,1
0,0.1428571,black,2
0.125,0.1428571,white,2
0.25,0.1428571,black,2
0.375,0.1428571,white,2
0.5,0.1428571,black,2
0.625,0.1428571,white,2
0.75,0.1428571,black,2
0.875,0.1428571,white,2
1,0.1428571,black,2
0,0.1428571,white,1
0.125,0.1428571,black,1
0.25,0.1428571,white,1
0.375,0.1428571,black,1
0.5,0.1428571,white,1
0.625,0.1428571,black,1
0.75,0.1428571,white,1
0.875,0.1428571,black,1
1,0.1428571,white,1
0,0.2857143,white,2
0.125,0.2857143,black,2
0.25,0.2857143,white,2
0.375,0.2857143,black,2
0.5,0.2857143,white,2
0.625,0.2857143,black,2
0.75,0.2857143,white,2
0.875,0.2857143,black,2
1,0.2857143,white,2
0,0.2857143,black,1
0.125,0.2857143,white,1
0.25,0.2857143,black,1
0.375,0.2857143,white,1
0.5,0.2857143,black,1
0.625,0.2857143,white,1
0.75,0.2857143,black,1
0.875,0.2857143,white,1
1,0.2857143,black,1
0,0.4285714,black,2
0.125,0.4285714,white,2
0.25,0.4285714,black,2
0.375,0.4285714,white,2
0.5,0.4285714,black,2
0.625,0.4285714,white,2
0.75,0.4285714,black,2
0.875,0.4285714,white,2
1,0.4285714,black,2
0,0.4285714,white,1
0.125,0.4285714,black,1
0.25,0.4285714,white,1
0.375,0.4285714,black,1
0.5,0.4285714,white,1
0.625,0.4285714,black,1
0.75,0.4285714,white,1
0.875,0.4285714,black,1
1,0.4285714,white,1
0,0.5714286,white,2
0.125,0.5714286,black,2
0.25,0.5714286,white,2
0.375,0.5714286,black,2
0.5,0.5714286,white,2
0.625,0.5714286,black,2
0.75,0.5714286,white,2
0.875,0.5714286,black,2
1,0.5714286,white,2
0,0.5714286,black,1
0.125,0.5714286,white,1
0.25,0.5714286,black,1
0.375,0.5714286,white,1
0.5,0.5714286,black,1
0.625,0.5714286,white,1
0.75,0.5714286,black,1
0.875,0.5714286,white,1
1,0.5714286,black,1
0,0.7142857,black,2
0.125,0.7142857,white,2
0.25,0.7142857,black,2
0.375,0.7142857,white,2
0.5,0.7142857,black,2
0.625,0.7142857,white,2
0.75,0.7142857,black,2
0.875,0.7142857,white,2
1,0.7142857,black,2
0,0.7142857,white,1
0.125,0.7142857,black,1
0.25,0.7142857,white,1
0.375,0.7142857,black,1
0.5,0.7142857,white,1
0.625,0.7142857,black,1
0.75,0.7142857,white,1
0.875,0.7142857,black,1
1,0.7142857,white,1
0,0.8571429,white,2
0.125,0.8571429,black,2
0.25,0.8571429,white,2
0.375,0.8571429,black,2
0.5,0.8571429,white,2
0.625,0.8571429,black,2
0.75,0.8571429,white,2
0.875,0.8571429,black,2
1,0.8571429,white,2
0,0.8571429,black,1
0.125,0.8571429,white,1
0.25,0.8571429,black,1
0.375,0.8571429,white,1
0.5,0.8571429,black,1
0.625,0.8571429,white,1
0.75,0.8571429,black,1
0.875,0.8571429,white,1
1,0.8571429,black,1
0,1,black,2
0.125,1,white,2
0.25,1,black,2
0.375,1,white,2
0.5,1,black,2
0.625,1,white,2
0.75,1,black,2
0.875,1,white,2
1,1,black,2
0,1,white,1
0.125,1,black,1
0.25,1,white,1
0.375,1,black,1
0.5,1,white,1
0.625,1,black,1
0.75,1,white,1
0.875,1,black,1
1,1,white,1
0,1.1428571,white,2
0.125,1.1428571,black,2
0.25,1.1428571,white,2
0.375,1.1428571,black,2
0.5,1.1428571,white,2
0.625,1.1428571,black,2
0.75,1.1428571,white,2
0.875,1.1428571,black,2
1,1.1428571,white,2
0,-0.2857142,white,0
0.125,-0.2857142,black,0
0.25,-0.2857142,white,0
0.375,-0.2857142,black,0
0.5,-0.2857142,white,0
0.625,-0.2857142,black,0
0.75,-0.2857142,white,0
0.875,-0.2857142,black,0
1,-0.2857142,white,0
0,-0.1428571,black,0
0.125,-0.1428571,white,0
0.25,-0.1428571,black,0
0.375,-0.1428571,white,0
0.5,-0.1428571,black,0
0.625,-0.1428571,white,0
0.75,-0.1428571,black,0
0.875,-0.1428571,white,0
1,-0.1428571,black,0
0,0,white,0
0.125,0,black,0
0.25,0,white,0
0.375,0,black,0
0.5,0,white,0
0.625,0,black,0
0.75,0,white,0
0.875,0,black,0
1,0,white,0
0,0.1428572,black,0
0.125,0.1428572,white,0
0.25,0.1428572,black,0
0.375,0.1428572,white,0
0.5,0.1428572,black,0
0.625,0.1428572,white,0
0.75,0.1428572,black,0
0.875,0.1428572,white,0
1,0.1428572,black,0
0,0.2857143,white,0
0.125,0.2857143,black,0
0.25,0.2857143,white,0
0.375,0.2857143,black,0
0.5,0.2857143,white,0
0.625,0.2857143,black,0
0.75,0.2857143,white,0
0.875,0.2857143,black,0
1,0.2857143,white,0
0,0.4285715,black,0
0.125,0.4285715,white,0
0.25,0.4285715,black,0
0.375,0.4285715,white,0
0.5,0.4285715,black,0
0.625,0.4285715,white,0
0.75,0.4285715,black,0
0.875,0.4285715,white,0
1,0.4285715,black,0
0,0.5714286000000001,white,0
0.125,0.5714286000000001,black,0
0.25,0.5714286000000001,white,0
0.375,0.5714286000000001,black,0
0.5,0.5714286000000001,white,0
0.625,0.5714286000000001,black,0
0.75,0.5714286000000001,white,0
0.875,0.5714286000000001,black,0
1,0.5714286000000001,white,0
0,0.7142858000000001,black,0
0.125,0.7142858000000001,white,0
0.25,0.7142858000000001,black,0
0.375,0.7142858000000001,white,0
0.5,0.7142858000000001,black,0
0.625,0.7142858000000001,white,0
0.75,0.7142858000000001,black,0
0.875,0.7142858000000001,white,0
1,0.7142858000000001,black,0
0,0.8571429,white,0
0.125,0.8571429,black,0
0.25,0.8571429,white,0
0.375,0.8571429,black,0
0.5,0.8571429,white,0
0.625,0.8571429,black,0
0.75,0.8571429,white,0
0.875,0.8571429,black,0
1,0.8571429,white,0
