image_left,image_right,name,size
"../stim/square_low_complexity_static_c1.png","../stim/square_low_complexity_static_c2.png","square, low complexity, static","[300,300]"
"../stim/square_low_complexity_static_c3.png","../stim/square_low_complexity_static_c4.png","square, low complexity, static","[300,300]"
"../stim/circle_low_complexity_static_c1.png","../stim/circle_low_complexity_static_c2.png","circle, low complexity, static","[300,300]"
"../stim/circle_low_complexity_static_c3.png","../stim/circle_low_complexity_static_c4.png","circle, low complexity, static","[300,300]"
"../stim/square_high_complexity_static_c1.png","../stim/square_high_complexity_static_c2.png","square, high complexity, static","[300,300]"
"../stim/square_high_complexity_static_c3.png","../stim/square_high_complexity_static_c4.png","square, high complexity, static","[300,300]"
"../stim/circle_high_complexity_static_c1.png","../stim/circle_high_complexity_static_c2.png","cirlce, high complexity, static","[300,300]"
"../stim/circle_high_complexity_static_c3.png","../stim/circle_high_complexity_static_c4.png","cirlce, high complexity, static","[300,300]"
"../stim/circle_low_complexity_movement_c1.mp4","","circle, low complexity, movement","[350,350]"
"../stim/circle_low_complexity_movement_c2.mp4","","circle, low complexity, movement","[350,350]"
"../stim/square_low_complexity_movement_c1.mp4","","square, low complexity, movement","[250,250]"
"../stim/square_low_complexity_movement_c2.mp4","","square, low complexity, movement","[250,250]"
"../stim/circle_high_complexity_movement_c1.mp4","","circle, high complexity, movement","[350,350]"
"../stim/circle_high_complexity_movement_c2.mp4","","circle, high complexity, movement","[350,350]"
"../stim/square_high_complexity_movement_c1.mp4","","square, high complexity, movement","[250,250]"
"../stim/square_high_complexity_movement_c2.mp4","","square, high complexity, movement","[250,250]"
